SchemeID	CompanyID	CompanyName	AddressLine1	AddressLine2	AddressLine3	Town	County	PostCode	Country	Phone1	Phone2	Fax	Website	Email1	Email2	Latitude	Longitude	Nationwide	CertificateID	CertificateNumber
2	1126	A & M Energy Solutions Ltd	Homewarm House	Orchard Industrial Estate	Christen Way	Maidstone	Kent	ME15 9YE	England	01622 673973			www.am-energy.com			51.234100	.560900	0		
2	1157	Rockwarm Insulation Ltd	4 Trident Business Park	Holman Way		Nuneaton	Warwickshire	CV11 4PN	England	02476 345554			www.rockwarm.co.uk	info@rockwarm.co.uk		52.516500	-1.457600	0		
2	1243	Dyson Energy Services	Dyson House	Armytage Road		Brighouse	West Yorkshire	HD6 1PT	England	01484 406086			www.dysoninsulations.co.uk	marc.cohen@dysonenergyservices.co.uk		53.699800	-1.770600	0	4476	95/3149
2	1243	Dyson Energy Services	Dyson House	Armytage Road		Brighouse	West Yorkshire	HD6 1PT	England	01484 406086			www.dysoninsulations.co.uk	marc.cohen@dysonenergyservices.co.uk		53.699800	-1.770600	0	4566	96/3228
2	1243	Dyson Energy Services	Dyson House	Armytage Road		Brighouse	West Yorkshire	HD6 1PT	England	01484 406086			www.dysoninsulations.co.uk	marc.cohen@dysonenergyservices.co.uk		53.699800	-1.770600	0	6880	13/4969
2	1248	Rockwool Ltd	Wern Tarw	Rhiwceiliog	Pencoed	Bridgend	Mid Glamorgan	CF35 6NY	Wales	01656 862621			www.rockwool.co.uk	ian.coles@ROCKWOOL.CO.UK		51.545400	-3.499900	0		
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	clementine.littlejohn@instagroup.co.uk		51.375000	-.891400	0	3576	89/2294
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	clementine.littlejohn@instagroup.co.uk		51.375000	-.891400	0	4476	95/3149
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	clementine.littlejohn@instagroup.co.uk		51.375000	-.891400	0	5672	11/4865
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	clementine.littlejohn@instagroup.co.uk		51.375000	-.891400	0	8916	13/4989
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	clementine.littlejohn@instagroup.co.uk		51.375000	-.891400	0	10388	14/5175
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	clementine.littlejohn@instagroup.co.uk		51.375000	-.891400	0	10646	15/5258
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	clementine.littlejohn@instagroup.co.uk		51.375000	-.891400	0	10744	16/5303
2	1249	InstaGroup Ltd	Insta House	Ivanhoe Road	Hogwood Business Park	Wokingham	Berkshire	RG40 4PZ	England	01189 328811			www.instagroup-homes.co.uk	mark.montgomery@instagroup.co.uk		51.375000	-.891400	0	3576	89/2294
